1	1.txt	Віктар Міхальчук	Калі ласка, у EXPOBEL	NONE	Голас Радзімы, №1 (3073), пятніца, 11 студзеня, 2008	http://www.golas.by/print.php?id=1200043855&archive=1200558410
2	10.txt	NONE	Фотапогляд на Нясвіж	NONE	Голас Радзімы, №24 (3096), чацвер, 26 чэрвеня, 2008	http://www.golas.by/print.php?id=1214466274&archive=1214979424
3	100.txt	Яўген Піменаў	Дарогу маладым!	NONE	Голас Радзімы, №31 (3103), чацвер, 21 жніўня, 2008	http://www.golas.by/print.php?id=1219310369&archive=1219992983
4	1000.txt	Іван Ждановіч	Кнігі на любы густ	NONE	Голас Радзімы, №6 (3078), чацвер, 14 лютага, 2008	http://www.golas.by/print.php?id=1202980511&archive=1203582773
5	1001.txt	Ірына Цімохіна	Сем цудаў зямлі мінскай	NONE	Голас Радзімы, №6 (3078), чацвер, 14 лютага, 2008	http://www.golas.by/print.php?id=1202980657&archive=1203582773
6	1002.txt	Васіль Харытонаў	Слуцкія паясы — шлях дадому	NONE	Голас Радзімы, №6 (3078), чацвер, 14 лютага, 2008	http://www.golas.by/print.php?id=1202980778&archive=1203582773
7	1003.txt	Іван Ждановіч	14 тамоў болю і любові	NONE	Голас Радзімы, №7 (3079), чацвер, 21 лютага, 2008	http://www.golas.by/print.php?id=1203582934&archive=1204124184
8	1004.txt	Адам Мальдзіс	Усведамленне асобы	NONE	Голас Радзімы, №7 (3079), чацвер, 21 лютага, 2008	http://www.golas.by/print.php?id=1203583318&archive=1204124184
9	1005.txt	Васіль Харытонаў	Японія і пяць чарнобыльскіх раёнаў	NONE	Голас Радзімы, №7 (3079), чацвер, 21 лютага, 2008	http://www.golas.by/print.php?id=1203583606&archive=1204124184
10	1006.txt	Адам Мальдзіс	Нашы карані	NONE	Голас Радзімы, №8 (3080), чацвер, 28 лютага, 2008	http://www.golas.by/print.php?id=1204124569&archive=1204795273
11	1007.txt	Ірына Цімохіна	Дарога за акіян з сустрэчным рухам	NONE	Голас Радзімы, №8 (3080), чацвер, 28 лютага, 2008	http://www.golas.by/print.php?id=1204124674&archive=1204795273
12	1008.txt	Васіль Харытонаў	Сябруюць гарады	NONE	Голас Радзімы, №8 (3080), чацвер, 28 лютага, 2008	http://www.golas.by/print.php?id=1204124737&archive=1204795273
13	1009.txt	Ганна Бандаровіч	Сто тысяч і больш	NONE	Голас Радзімы, №9 (3081), чацвер, 6 сакавіка, 2008	http://www.golas.by/print.php?id=1204795437&archive=1205407589
14	101.txt	Зміцер Арцюх	У госці да весялосці	NONE	Голас Радзімы, №4 (3076), чацвер, 31 студзеня, 2008	http://www.golas.by/print.php?id=1201767304&archive=1202475772
15	1010.txt	NONE	Пясняр і тэатр	NONE	Голас Радзімы, №9 (3081), чацвер, 6 сакавіка, 2008	http://www.golas.by/print.php?id=1204795593&archive=1205407589
