нілагерцаў	кілагерцаў
выканан	выканай
Калько	Калька
зоводзе	заводзе
сунраць	супраць
крвіны	краіны
выходзінь	выходзіць
Мінснага	Мінскага
выпалкова	выпадкова
самадзейнасні	самадзейнасці
магтацтва	мастацтва
алдзела	аддзела
лругой	другой
літвратуры	літаратуры
павінсн	павінен
выпалку	выпадку
прамыс	прамые
эначэнне	значэнне
карыснь	карысць
дзяцен	дзяцей
такгама	таксама
дзіцца	даіцца
сярэднееўрапейснаму	сярэднееўрапейскаму
белярускіх	беларускіх
нелахопы	недахопы
чалявека	чалавека
лобрая	добрая
капіта	каліта
аддзепа	аддзела
глсдача	гледача
рлботу	работу
насельнінтва	насельніцтва
жывунь	жывуць
творчан	творчай
муэыка	музыка
намбіната	камбіната
нарэшне	нарэшце
тансама	таксама
нярода	народа
Казека	Калека
гапоўнага	галоўнага
месянаў	месяцаў
Бсларусь	Беларусь
новаіі	новай
якаснь	якасць
прапаганлы	прапаганды
эдаецца	здаецца
гвворыць	гаворыць
склада	склала
вытворчасні	вытворчасці
расказвас	расказвае
глелача	гледача
злымку	здымку
налсжыць	належыць
загалчык	загадчык
алносінах	адносінах
напісань	напісаць
пранэс	працэс
рвботы	работы
смерні	смерці
Купвлы	Купалы
Савецкаіі	Савецкай
здасцца	здаецца
меснах	месцах
русквй	рускай
арксстра	аркестра
чалявек	чалавек
квлектыў	калектыў
нілагерцы	кілагерцы
сввйго	свайго
перыял	перыяд
магаэіны	магазіны
ляжань	ляжаць
глсдачоў	гледачоў
манстэрства	майстэрства
аповеснь	аповесць
алнойчы	аднойчы
лругога	другога
дароэе	дарозе
наротнай	варотнай
лобрыя	добрыя
яялікай	вялікай
сввецкіх	савецкіх
беларуснай	беларускай
лдбыўся	адбыўся
пісьменнікя	пісьменніка
такслма	таксама
наалварот	наадварот
Друнарня	Друкарня
нлрода	народа
радаснь	радасць
раласці	радасці
хлопны	хлопцы
савенкія	савецкія
вяломага	вядомага
наралжэння	нараджэння
Масквс	Маскве
лаяркі	даяркі
беларусніх	беларускіх
саныялізма	сацыялізма
сулраць	супраць
злаецца	здаецца
прыходзінь	прыходзіць
пісьмен	пісьмён
раласць	радасць
роднаіі	роднай
нрацоўных	працоўных
псршая	першая
мастацтвл	мастацтва
тралыцыі	традыцыі
лртыстаў	артыстаў
пссень	песень
Дэяржаўны	Дзяржаўны
рускан	рускай
Анчыннай	Айчыннай
застаешіа	застаецца
карніны	карціны
сельскаіі	сельскай
энайшлі	знайшлі
большасні	большасці
нраіны	краіны
адчувас	адчувае
вяломых	вядомых
дарозс	дарозе
насель	нагель
зоняты	заняты
лраматургіі	драматургіі
алпачынку	адпачынку
паставінь	паставіць
народя	народа
албылася	адбылася
сусвстнай	сусветнай
першан	першай
аялікі	вялікі
тпораў	твораў
рэснублікі	рэспублікі
лружбы	дружбы
шукань	шукаць
нярэлка	нярэдка
